#{"t_start": 1747184514.6882677, "env_id": "None"}
r,l,t
-6.5538507,25,4.641755
-6.5218544,25,4.64176
-1.9489808,25,4.641767
-9.4113245,25,4.641773
-5.88192,25,4.64178
-4.4882693,25,4.641785
-12.236177,25,4.64179
0.8433175,25,4.641795
-4.6822834,25,4.641802
-5.8236957,25,4.641808
-9.382395,25,4.641816
-10.7662945,25,4.641821
-10.765254,25,4.641827
-0.22479725,25,4.641834
-1.4526348,25,4.641839
-4.7665024,25,4.641844
-4.1616445,25,4.641849
-5.659828,25,4.641855
-10.38784,25,4.641864
-10.421686,25,4.64187
-2.040751,25,4.641877
-4.6783595,25,4.641883
-8.627675,25,4.641892
-3.8921978,25,4.641898
-9.853373,25,4.641903
-6.9422464,25,4.641908
-1.8342936,25,4.641914
-9.79127,25,4.641924
-3.4282374,25,4.641935
-7.1688275,25,4.641941
-5.9553275,25,4.641949
-3.5503845,25,4.641955
-0.14056921,25,4.641962
-5.017677,25,4.641967
-7.342836,25,4.641973
-1.7908728,25,4.641979
-4.341931,25,4.641986
-2.210487,25,4.641996
-7.6598597,25,4.642001
-11.8940325,25,4.642006
-9.835085,25,4.642014
-6.010358,25,4.642019
-7.5960126,25,4.642026
-3.586359,25,4.642034
-10.998123,25,4.64204
-4.450843,25,4.642047
-7.403099,25,4.642052
-2.631772,25,4.642063
-3.7828872,25,4.642073
-12.326267,25,4.64208
-6.066944,25,4.642085
-12.295148,25,4.642093
-6.39911,25,4.642101
-6.452736,25,4.642106
-7.519849,25,4.642111
0.07583904,25,4.642118
-9.554205,25,4.642123
-2.0360649,25,4.64213
-4.1163983,25,4.642136
-2.9775884,25,4.642142
-8.1416645,25,4.642155
-9.976932,25,4.64216
-7.5623846,25,4.642166
-3.8921957,25,4.642172
-5.147142,25,4.642181
-5.964768,25,4.642188
-2.111658,25,4.642193
-6.0630565,25,4.642198
-3.2986794,25,4.642204
-8.448549,25,4.642208
-12.375033,25,4.642213
-11.398338,25,4.64222
1.996808,25,4.642226
-5.5165844,25,4.642231
-8.305391,25,4.642236
-6.823242,25,4.64224
-6.978356,25,4.642245
-5.261192,25,4.642252
-5.892993,25,4.642258
0.19067669,25,4.642265
-10.659024,25,4.642274
-12.170165,25,4.642278
-11.414288,25,4.642289
-6.925255,25,4.642293
-0.1294055,25,4.642301
-5.8649697,25,4.642307
-6.1103716,25,4.642313
-7.3031707,25,4.642323
-7.429249,25,4.642327
-2.0380826,25,4.642335
-6.646408,25,4.64234
-9.024003,25,4.642345
-9.152851,25,4.642351
-2.8018465,25,4.642359
-6.4670763,25,4.642365
-7.5462155,25,4.64237
-15.362198,25,4.642377
-8.727716,25,4.642384
