#{"t_start": 1747094223.8235068, "env_id": "None"}
r,l,t
0.6917312,250,37.026027
0.9773815,250,37.026032
0.8690219,250,37.026037
0.8433634,250,37.026042
0.9576236,250,37.026046
0.7669931,250,37.026051
0.87756664,250,37.026055
1.0190735,250,37.026061
0.7429394,250,37.026065
0.81797117,250,37.026071
1.0740517,250,37.026076
0.8058972,250,37.02608
0.88434637,250,37.026085
0.7609212,250,37.026089
1.0637183,250,37.026094
0.8581617,250,37.026098
0.561242,250,37.026103
0.840963,250,37.026107
0.8363819,250,37.026112
0.9665594,250,37.026119
0.84231013,250,37.026123
0.99662006,250,37.026128
1.1139184,250,37.026133
0.90272343,250,37.026137
0.8313524,250,37.026142
0.79737103,250,37.026146
0.78921086,250,37.026151
1.0602674,250,37.026156
1.0388231,250,37.026161
0.87361133,250,37.026166
0.98581976,250,37.02617
0.6632734,250,37.026176
0.9420105,250,37.026181
1.300038,250,37.026185
0.9392849,250,37.02619
1.0490854,250,37.026194
1.1619953,250,37.026199
0.7831782,250,37.026203
1.2542636,250,37.026208
1.0413415,250,37.026213
0.89470524,250,37.026217
1.0051761,250,37.026222
0.77668655,250,37.026228
0.9951545,250,37.026232
1.0796134,250,37.026237
0.81308556,250,37.026242
1.1414577,250,37.026246
0.9178125,250,37.026251
0.73072547,250,37.026255
0.8337648,250,37.02626
1.1056267,250,37.026265
0.90512276,250,37.026269
0.70857275,250,37.026275
0.83780235,250,37.02628
1.4703351,250,37.026285
0.9639405,250,37.026289
0.78179353,250,37.026294
0.8011172,250,37.026299
0.8963146,250,37.026304
1.0313814,250,37.026309
1.2390699,250,37.026314
0.8078685,250,37.026319
1.3010747,250,37.026324
0.82719356,250,37.026329
1.0321245,250,37.026338
0.80949587,250,37.026344
1.0863448,250,37.026348
0.9268569,250,37.026353
0.9195116,250,37.026358
0.9282199,250,37.026362
1.0021892,250,37.026366
1.1441085,250,37.026371
0.7914399,250,37.026376
0.8747448,250,37.02638
1.1925392,250,37.026385
1.1783409,250,37.026389
0.7836363,250,37.026394
0.77977985,250,37.026399
0.7206788,250,37.026404
0.7916859,250,37.026408
1.0534387,250,37.026413
1.0682912,250,37.026418
1.0149809,250,37.026422
1.218872,250,37.026427
0.8927104,250,37.026431
0.84370565,250,37.026436
0.8895808,250,37.026441
0.94315404,250,37.026445
1.0555853,250,37.026451
1.1626476,250,37.026456
1.1290945,250,37.02646
0.86837196,250,37.026465
0.86804855,250,37.026471
0.8572275,250,37.026476
0.78452146,250,37.026482
0.97266823,250,37.026489
1.0036997,250,37.026493
0.9354295,250,37.026498
1.1886927,250,37.026502
0.9020325,250,37.026508
0.6609996,250,37.026512
1.015469,250,37.026517
1.2084819,250,37.026521
1.1147659,250,37.026526
0.78179115,250,37.026531
0.9915347,250,37.026535
0.67528325,250,37.02654
0.84112084,250,37.026544
0.9351285,250,37.026549
1.0415885,250,37.026553
0.82478577,250,37.026557
0.84027886,250,37.026563
0.8772907,250,37.026568
1.087173,250,37.026573
0.7200962,250,37.026577
0.83768815,250,37.026582
0.9503911,250,37.026587
0.88831896,250,37.026591
1.0124741,250,37.026596
1.1367716,250,37.026601
0.76338565,250,37.026605
0.8775843,250,37.02661
1.123262,250,37.026614
1.2593292,250,37.026622
0.8584202,250,37.026626
0.69585186,250,37.026631
1.0679556,250,37.026636
1.2493222,250,37.02664
0.9037034,250,37.026645
0.8923081,250,37.02665
0.7583999,250,37.026655
1.4303691,250,37.02666
0.7668514,250,37.026664
0.9857915,250,37.026669
0.98843163,250,37.026674
0.8553664,250,37.026679
1.1989942,250,37.026683
0.7466751,250,37.026689
1.0055144,250,37.026694
1.0837096,250,37.026698
1.1276152,250,37.026703
1.0855331,250,37.026708
1.0054168,250,37.026712
0.9243581,250,37.026717
0.825314,250,37.026722
0.9525614,250,37.026727
0.94916826,250,37.026732
1.2174593,250,37.026737
0.6251959,250,37.026741
0.7383373,250,37.026746
0.74375856,250,37.02675
1.0373579,250,37.026755
0.8704069,250,37.026759
1.1277479,250,37.026764
0.8791898,250,37.026768
